Date,Content
2022-07-13 15:08:23+00:00,"b'Baru dateng malemm lagee \xf0\x9f\xa4\xa3\n#Vtubers #Vtuber #Vtuber\xe7\xb4\xa0\xe6\x9d\x90 #unboxing #YouTuber #hololive #NIJISANJI #vtuberid\xe2\x80\xa6 https://t.co/cAKvETcQk0'"
2022-07-13 13:05:34+00:00,"b'2022 ku di penuhi oleh @kobokanaeru #KoboKanaeru #Kobokerz #Cebokerz #hololive https://t.co/GhEfjIJ9nW'"
2022-07-13 11:55:06+00:00,"b'Sungkem ke lort cebo \xf0\x9f\x99\x8f\xe2\x9c\xa8\n@kobokanaeru\n#AeruSeni #kobokanaeru #hololive #fanart \nBtw speedpaint ada di bio https://t.co/yCgFO1tUlA'"
2022-07-13 11:20:39+00:00,"b'mantab bang\n#Risu_Live #Ayunda_Risu #hololive #holoID #hololive_ID https://t.co/w7GW1lVktL'"
2022-07-13 06:21:33+00:00,"b'Yagoo is to OP wkwk\n#HoloCure #hololive https://t.co/COBIjBPkhC'"
2022-07-13 03:29:49+00:00,"b'Love you forever, Sana. ( \xc2\xb4\xe2\x80\xa2\xcc\xa5\xcc\xa5\xcc\xa5\xcf\x89\xe2\x80\xa2\xcc\xa5\xcc\xa5\xcc\xa5` )\n#galaxillust #hololive #HololiveEN  #20DaysofSana https://t.co/Q5jGMYId1u'"
2022-07-13 01:29:34+00:00,"b'Study keterusan\n#Zetacrylic #animefanart #hololive https://t.co/lgaTEmH0qz'"
2022-07-12 23:13:36+00:00,"b'Rap Rap Rat Rat\n#illustrayBAE #HololiveEN #holoCouncil #hololive #hololiveEnglish #fnf #fridaynightfunkinmod\xe2\x80\xa6 https://t.co/Wp1RDqyCg6'"
2022-07-12 15:23:52+00:00,"b'Gk mau ketinggalan, btw masih menunggu hand reveal nya. @kobokanaeru #Kobobrok #KoboKanaeru #Kobokerz #cebokerz\xe2\x80\xa6 https://t.co/kYILo2rgIJ'"
2022-07-12 12:59:19+00:00,"b'Alhamdulillah selangkah menuju Live steam, up dulu ke ssd biar makin kuencenggg \xf0\x9f\xa4\xa3 biar bottleneck yang penting ssd\xe2\x80\xa6 https://t.co/SNpCwPaF78'"
2022-07-12 12:58:08+00:00,"b'Hoi!\nAkhirnya jadi juga fanart luwh, ya gk terlalu mirip dan guwd sih, but at least dah nyoba lah yak... \xf0\x9f\x97\xbf\nOiya, Se\xe2\x80\xa6 https://t.co/4I91LPbmOp'"
2022-07-12 11:12:05+00:00,"b'Segera graduate (lulus) akhir Juli ini, Tsukumo Sana (@tsukumosana) akan menyempatkan bercengkerama bareng talenta\xe2\x80\xa6 https://t.co/FcplhQ52kn'"
2022-07-12 03:30:10+00:00,"b'Anyone interested?\nYang mau book bisa langsung reply di bawah atau mampir ke postingan facebook ku\xe2\x80\xa6 https://t.co/MW8Ro5pZif'"
2022-07-12 03:20:22+00:00,"b'oozora subaru #hololive #OozoraSubaru https://t.co/Wmpn5hVRAd'"
2022-07-12 02:41:21+00:00,"b'Setelah ketemu Waifu Favoritku dan kencan yang sukses beberapa kali. . Para Girls mulai. . mengirimi kita. . .Foto\xe2\x80\xa6 https://t.co/xp3IKBgvUr'"
2022-07-11 18:02:30+00:00,"b'Usada Pekora 2022 birthday merch! \n#hololive #vtubers https://t.co/3MZylMQios'"
2022-07-11 16:29:43+00:00,"b'Kobo Kanaeru - HoloID Gen 3\ngk da waktu buat gambar, sebisa aja gambarnya buat vtuber kecil yg rayain 1jt subs\xe2\x80\xa6 https://t.co/kFl4ZkHCKv'"
2022-07-11 14:55:54+00:00,"b""It's me pekola\xf0\x9f\x90\xb0#hololive https://t.co/w6vM1129dy"""
2022-07-11 07:03:50+00:00,"b'Congrats Murasaki Shion 1M\n#\xe3\x82\xb7\xe3\x82\xaa\xe3\x83\xb3\xe3\x81\xae\xe6\x9b\xb8\xe7\x89\xa9 #\xe3\x83\x9b\xe3\x83\xad\xe3\x83\xa9\xe3\x82\xa4\xe3\x83\x96 #hololive https://t.co/UKUqk8voYT'"
2022-07-11 06:26:59+00:00,"b'\xe2\x9c\xa8\xd9\xa9(\xe2\x80\xa2\xcc\x81\xe2\x8c\x84\xe2\x80\xa2\xcc\x81\xe0\xb9\x91)Let\xe2\x80\x98s go!\n#\xe3\x81\x97\xe3\x82\x89\xe3\x81\xac\xe3\x81\x88\n#hololive https://t.co/n9nmy9PjeY'"
2022-07-11 02:32:47+00:00,"b'Moona Hoshinova tersepona melihat Kobo nyangkut di pohon sekolah\n\nBtw, congrats for 1M subs\n\n#AeruSeni #KoboKanaeru\xe2\x80\xa6 https://t.co/aDVpq761vd'"
